ID	Ima	Campo (T.m)	Corrente  rms	Campo Normalizado	Media Normalizada	Desvio Padrao Minimo	Desvio Padrao Maximo	Media Normalizada	Desvio Padrao Minimo	Desvio Padrao Maximo
17221	S15-073	-359.4314	167.7978	-359.4308	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17249	S15-071	-359.2465	167.7970	-359.2441	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17277	S15-074	-359.4552	167.7984	-359.4558	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17306	S15-078	-359.7113	167.7991	-359.7134	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17335	S15-076	-359.1737	167.7983	-359.1741	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17366	S15-079	-359.8266	167.7983	-359.8270	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17410	S15-015	-360.0399	167.7992	-360.0423	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17439	S15-023	-359.9454	167.7979	-359.9450	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17467	S15-021	-359.7552	167.7980	-359.7550	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17495	S15-016	-359.3276	167.7985	-359.3285	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17527	S15-043	-360.4090	167.7978	-360.4084	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17556	S15-044	-361.1039	167.7976	-361.1028	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17588	S15-040	-360.7431	167.7974	-360.7416	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17617	S15-039	-359.7434	167.8012	-359.7500	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17652	S15-050	-360.1930	167.7982	-360.1932	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17682	S15-035	-359.2454	167.7971	-359.2433	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17715	S15-036	-359.1890	167.8007	-359.1946	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17744	S15-037	-359.6666	167.7990	-359.6685	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17776	S15-092	-359.9808	167.7988	-359.9823	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17839	S15-093	-360.2783	167.7994	-360.2811	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17868	S15-094	-360.4679	167.7980	-360.4677	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17897	S15-136	-360.1687	167.7991	-360.1708	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17926	S15-129	-359.6714	167.7988	-359.6729	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17955	S15-130	-359.9905	167.7986	-359.9916	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
17987	S15-109	-360.0633	167.7976	-360.0622	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
18017	S15-131	-360.3075	167.7976	-360.3064	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
18045	S15-141	-360.1814	167.7977	-360.1805	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
18074	S15-135	-360.0162	167.7978	-360.0156	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
18102	S15-137	-360.5253	167.7982	-360.5255	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
18132	S15-010	-360.1946	167.7970	-360.1922	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
18162	S15-011	-359.9854	167.7974	-359.9839	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
18192	S15-005	-360.1398	167.7979	-360.1394	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
18222	S15-012	-360.1688	167.7979	-360.1684	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
18254	S15-032	-360.9522	167.7968	-360.9494	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
18310	S15-031	-360.8494	167.7968	-360.8466	-359.835179	-360.333243	-359.337115	-359.8079703	-360.178300	-359.437640
